Metric,Value
design__max_fanout_violation__count__corner:max_ss_100C_1v60,575
design__max_cap_violation__count__corner:max_ss_100C_1v60,30
clock__skew__worst_hold__corner:max_ss_100C_1v60,6.063309137502125
clock__skew__worst_setup__corner:max_ss_100C_1v60,10.383007636447246
timing__hold__ws__corner:max_ss_100C_1v60,0.11654344486005028
timing__setup__ws__corner:max_ss_100C_1v60,-5.507703782274601
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-1405.6467250251715
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-5.507703782274601
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.634184
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,1012
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-4.933801
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,1001
timing__unannotated_net__count__corner:max_ss_100C_1v60,242
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,14
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,575
design__max_cap_violation__count__corner:max_ff_n40C_1v95,25
clock__skew__worst_hold__corner:max_ff_n40C_1v95,2.1329325576130826
clock__skew__worst_setup__corner:max_ff_n40C_1v95,3.908861789330956
timing__hold__ws__corner:max_ff_n40C_1v95,-0.013892887233867043
timing__setup__ws__corner:max_ff_n40C_1v95,0.0
timing__hold__tns__corner:max_ff_n40C_1v95,-0.013892887233867043
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,-0.013892887233867043
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,1
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,-0.013893
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,1
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,0.000000
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,242
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,242
timing__unannotated_net_filtered__count,0
