Metric,Value
timing__setup__wns__corner:min_ss_100C_1v60,-5.172574515118407
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.010269
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,586
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-2.489125
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,581
timing__unannotated_net__count__corner:min_ss_100C_1v60,260
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,689
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,552
design__max_cap_violation__count__corner:min_ff_n40C_1v95,328
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.384278758579665
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.35738621407165533
timing__hold__ws__corner:min_ff_n40C_1v95,0.15940171855867735
timing__setup__ws__corner:min_ff_n40C_1v95,1.216721868807384
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.159402
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,2.759334
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,260
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,779
design__max_fanout_violation__count__corner:max_tt_025C_1v80,552
design__max_cap_violation__count__corner:max_tt_025C_1v80,331
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.4864360163464802
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.43887703047306936
timing__hold__ws__corner:max_tt_025C_1v80,0.39146464955420657
timing__setup__ws__corner:max_tt_025C_1v80,0.5530704939460092
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
